date_label,date_sort,title,url,cta_text
Jul 2026 · Data & Policy,2026-07-14,AI Ethics Canvas: A graphical tool to design and deploy ethical artificial intelligence for public administrations,https://doi.org/10.1017/dap.2026.10088,Read publication ↗
May 2026 · Open data,2026-05-02,Data as Commons: The Power and Impact of Open Data,https://cris.fbk.eu/handle/11582/372027,View record ↗
Mar 2026 · Digital commons,2026-03-11,A global data commons is needed to protect and govern Earth's soil,https://cris.fbk.eu/handle/11582/372007,View record ↗
Jan 2026 · Active mobility,2026-01-20,LTS-BikePlan: A Data-Driven Tool for Enhancing Cycling Infrastructure and Safety,https://cris.fbk.eu/handle/11582/371507,View record ↗
Nov 2025 · Urban climate,2025-11-06,Investigating Social Vulnerability to Extreme Heat: Heat Islands and Climate Shelters in Urban Contexts,https://doi.org/10.3390/ijgi14010017,Read publication ↗
Oct 2025 · BioLaw Journal,2025-10-23,Balancing Innovation and Regulation: A Critical Look at the AI Act's Research Exemptions,https://doi.org/10.15168/2284-4503-3741,Read publication ↗
Aug 2025 · arXiv,2025-08-08,Generative AI and the Future of the Digital Commons: Five Open Questions and Knowledge Gaps,https://doi.org/10.48550/arXiv.2508.06470,Read publication ↗
Aug 2025 · A Companion to Digital Ethics,2025-08-04,Data for Good,https://doi.org/10.1002/9781394240821.ch8,Read publication ↗
Jun 2025 · Egyptian J. Remote Sensing & Space Sciences,2025-06-01,Flood mapping and impact analysis by fusion of remote sensing and open geospatial data: Sindh case study,https://doi.org/10.1016/j.ejrs.2025.05.001,Read publication ↗
Oct 2024 · Policy & Internet,2024-10-04,The false promise of individual digital sovereignty in Europe: Comparing artificial intelligence and data regulations in China and the European Union,https://doi.org/10.1002/poi3.424,Read publication ↗
May 2024 · LREC-COLING,2024-05-20,Annotation and Classification of Relevant Clauses in Terms-and-Conditions Contracts,https://doi.org/10.63317/3yctdxvarqw7,Read publication ↗
Jan 2024 · Public Money & Management,2024-01-12,"Dataspaces, public administration and collective rationality: opportunities and limits for data-driven policy-making",https://doi.org/10.1080/09540962.2023.2298260,Read publication ↗
Sep 2023 · Remote Sensing,2023-09-21,Remote Sensing and Deep Learning to Understand Noisy OpenStreetMap,https://doi.org/10.3390/rs15184639,Read publication ↗
Jul 2023 · IGARSS 2023,2023-07-16,Joint Learning Framework for Roads Semantic Segmentation from VHR and VGI Data,https://doi.org/10.1109/igarss52108.2023.10282859,Read publication ↗
Jun 2023 · Urban mobility,2023-06-01,Are Italian cities already 15-minute? Presenting the Next Proximity Index,https://doi.org/10.1016/j.urbmob.2023.100057,Read publication ↗
Apr 2023 · ISPRS Open J. Photogrammetry & RS,2023-04-01,Towards global scale segmentation with OpenStreetMap and remote sensing,https://doi.org/10.1016/j.ophoto.2023.100031,Read publication ↗
Sep 2021 · IGI Global,2021-09-03,Mapping the Mappers: Exploring the Communities of VGI Users Through OpenStreetMap Data,https://doi.org/10.4018/978-1-7998-8473-6.ch031,Read publication ↗
Jul 2018 · IEEE IV 2018,2018-07-01,Beyond Transparency: Making the Italian Public Administration more Accessible through Data Storytelling,https://doi.org/10.1109/iv.2018.00050,Read publication ↗
